,geographic_name,site_type,longitude,latitude,geometry,date_mod
163,El Curo,locality,-75.4904836,3.8419607,POINT Z (-75.4904836 3.8419607 0),2021-08-27T00:00:00+00:00
164,La Venta,locality,-75.3385029,3.7225499,POINT Z (-75.33850289999999 3.7225499 0),2021-08-27T00:00:00+00:00
165,La Vega,locality,-75.3232043,3.7207084,POINT Z (-75.3232043 3.7207084 0),2021-08-27T00:00:00+00:00
166,La Victoria,locality,-75.3200879,3.7120676,POINT Z (-75.3200879 3.7120676 0),2021-08-27T00:00:00+00:00
167,Tamareo,locality,-75.3037978,3.7066847,POINT Z (-75.3037978 3.7066847 0),2021-08-27T00:00:00+00:00
168,Pipini,locality,-75.3824154,3.7129175,POINT Z (-75.3824154 3.7129175 0),2021-08-27T00:00:00+00:00
169,San Jose,locality,-75.3674002,3.7107927,POINT Z (-75.36740020000001 3.7107927 0),2021-08-27T00:00:00+00:00
170,El Saman,locality,-75.3433191,3.7338822,POINT Z (-75.3433191 3.7338822 0),2021-08-27T00:00:00+00:00
171,El Porvenir,locality,-75.3264623,3.7313324,POINT Z (-75.3264623 3.7313324 0),2021-08-27T00:00:00+00:00
172,Paujil,locality,-75.404655,3.7491808,POINT Z (-75.40465500000001 3.7491808 0),2021-08-27T00:00:00+00:00
173,Mosquitos,locality,-75.3971474,3.7341655,POINT Z (-75.39714739999999 3.7341655 0),2021-08-27T00:00:00+00:00
174,Capellania,locality,-75.3791574,3.725383,POINT Z (-75.3791574 3.725383 0),2021-08-27T00:00:00+00:00
175,Yaguaral,locality,-75.3383612,3.7865773,POINT Z (-75.33836119999999 3.7865773 0),2021-08-27T00:00:00+00:00
176,Vistahermosa,locality,-75.4035969,3.853093,POINT Z (-75.4035969 3.853093 0),2021-08-27T00:00:00+00:00
177,La Aguada,locality,-75.4016962,3.8300137,POINT Z (-75.4016962 3.8300137 0),2021-08-27T00:00:00+00:00
178,Lemaya,locality,-75.378161,3.7959755,POINT Z (-75.37816100000001 3.7959755 0),2021-08-27T00:00:00+00:00
179,Los Planes,locality,-75.7880706,3.8945,POINT Z (-75.7880706 3.8945 0),2021-08-27T00:00:00+00:00
180,Los Pinos,locality,-75.7668919,3.8955861,POINT Z (-75.7668919 3.8955861 0),2021-08-27T00:00:00+00:00
181,La Florida,locality,-75.7719151,3.9106555,POINT Z (-75.7719151 3.9106555 0),2021-08-27T00:00:00+00:00
182,El Mirador,locality,-75.7985241,3.9255891,POINT Z (-75.79852409999999 3.9255891 0),2021-08-27T00:00:00+00:00
183,El Diamante,locality,-75.8287987,3.8829603,POINT Z (-75.82879869999999 3.8829603 0),2021-08-27T00:00:00+00:00
184,Gigante,locality,-75.826898,3.891649,POINT Z (-75.826898 3.891649 0),2021-08-27T00:00:00+00:00
185,Bolivia,locality,-75.7856269,3.8863543,POINT Z (-75.7856269 3.8863543 0),2021-08-27T00:00:00+00:00
186,Santa Fe,locality,-75.7705575,3.9345493,POINT Z (-75.7705575 3.9345493 0),2021-08-27T00:00:00+00:00
187,Balcones,locality,-75.7647197,3.9169004,POINT Z (-75.7647197 3.9169004 0),2021-08-27T00:00:00+00:00
188,Santa Cecilia,locality,-75.7765309,3.9213805,POINT Z (-75.7765309 3.9213805 0),2021-08-27T00:00:00+00:00
189,Satena,locality,-75.6981971,3.8883907,POINT Z (-75.6981971 3.8883907 0),2021-08-27T00:00:00+00:00
190,Mameyal,locality,-75.6774258,3.8966721,POINT Z (-75.67742579999999 3.8966721 0),2021-08-27T00:00:00+00:00
191,La Linda,isolated_dwelling,-75.7046797,3.9061213,POINT Z (-75.7046797 3.9061213 0),2021-08-27T00:00:00+00:00
192,Versalles,locality,-75.6823131,3.9160859,POINT Z (-75.6823131 3.9160859 0),2021-08-27T00:00:00+00:00
193,Alemania,isolated_dwelling,-75.7154594,3.9229241,POINT Z (-75.7154594 3.9229241 0),2021-08-27T00:00:00+00:00
194,Santa Clara,isolated_dwelling,-75.7564384,3.9284401,POINT Z (-75.75643839999999 3.9284401 0),2021-08-27T00:00:00+00:00
195,Vagones,locality,-75.7613257,3.9338705,POINT Z (-75.7613257 3.9338705 0),2021-08-27T00:00:00+00:00
196,Alemania,hamlet,-75.7582143,3.9440893,POINT Z (-75.75821430000001 3.9440893 0),2021-08-27T00:00:00+00:00
197,San José de Las Hermosas,village,-75.6958993,3.9048064,POINT Z (-75.69589929999999 3.9048064 0),2021-08-27T00:00:00+00:00
198,El Cairo,hamlet,-75.6658445,3.90949,POINT Z (-75.66584450000001 3.90949 0),2021-08-27T00:00:00+00:00
199,El Rocio,locality,-75.6482373,3.8744074,POINT Z (-75.64823730000001 3.8744074 0),2021-08-27T00:00:00+00:00
200,Normandia,locality,-75.6487803,3.8794306,POINT Z (-75.6487803 3.8794306 0),2021-08-27T00:00:00+00:00
201,El Mirador (1),locality,-75.6123965,3.8741359,POINT Z (-75.6123965 3.8741359 0),2021-08-27T00:00:00+00:00
202,El Jordan,locality,-75.6246149,3.8750862,POINT Z (-75.6246149 3.8750862 0),2021-08-27T00:00:00+00:00
203,Peñaranda,locality,-75.5932543,3.8841822,POINT Z (-75.5932543 3.8841822 0),2021-08-27T00:00:00+00:00
204,La Estacion,locality,-75.6652073,3.8847252,POINT Z (-75.66520730000001 3.8847252 0),2021-08-27T00:00:00+00:00
205,El Placer,locality,-75.6641212,3.8771226,POINT Z (-75.6641212 3.8771226 0),2021-08-27T00:00:00+00:00
206,San Jorge - Alto,hamlet,-75.5976201,3.8765248,POINT Z (-75.5976201 3.8765248 0),2021-08-27T00:00:00+00:00
207,Rionegro Hermosas,hamlet,-75.6390896,3.8713388,POINT Z (-75.63908960000001 3.8713388 0),2021-08-27T00:00:00+00:00
208,Boqueron Miraflores,locality,-75.712995,3.9633305,POINT Z (-75.71299500000001 3.9633305 0),2021-08-27T00:00:00+00:00
209,Paramo De Cumbarco,locality,-75.741392,4.0252857,POINT Z (-75.741392 4.0252857 0),2021-08-27T00:00:00+00:00
210,Iglesia Divino Niño,place_of_worship,-75.4777937,3.7198169,POINT Z (-75.47779370000001 3.7198169 0),2021-08-27T00:00:00+00:00
211,Restaurante Arroyave,restaurant,-75.4865097,3.7240861,POINT Z (-75.4865097 3.7240861 0),2021-08-27T00:00:00+00:00
212,Restaurante la Parilla,restaurant,-75.4847978,3.7242518,POINT Z (-75.4847978 3.7242518 0),2021-08-27T00:00:00+00:00
213,Colegio Soledad Medina,college,-75.495563,3.7199273,POINT Z (-75.495563 3.7199273 0),2021-08-27T00:00:00+00:00
214,POLITECNICO TOLIMENSE,school,-75.4828854,3.7235353,POINT Z (-75.4828854 3.7235353 0),2021-08-27T00:00:00+00:00
215,Cooperativa de Transportadores del Sur del Tolima - COINTRASUR,office,-75.4854573,3.7235377,POINT Z (-75.48545729999999 3.7235377 0),2021-08-27T00:00:00+00:00
216,V Distrito de Policia / Estación de Policía Chaparral,police,-75.4835758,3.7257427,POINT Z (-75.4835758 3.7257427 0),2021-08-27T00:00:00+00:00
217,BanColombia,bank,-75.4853414,3.7252627,POINT Z (-75.4853414 3.7252627 0),2021-08-27T00:00:00+00:00
218,Banco Davivienda,bank,-75.4847137,3.7243631,POINT Z (-75.4847137 3.7243631 0),2021-08-27T00:00:00+00:00
219,Banco Agrario,bank,-75.4850899,3.7252656,POINT Z (-75.48508990000001 3.7252656 0),2021-08-27T00:00:00+00:00
220,Estacion de Servicio Cointrasur 1,fuel,-75.4734815,3.725547,POINT Z (-75.47348150000001 3.725547 0),2021-08-27T00:00:00+00:00
221,La Charca,isolated_dwelling,-75.4173366,3.5388887,POINT Z (-75.4173366 3.5388887 0),2021-08-27T00:00:00+00:00
222,La Primavera,isolated_dwelling,-75.3852601,3.74445,POINT Z (-75.3852601 3.74445 0),2021-08-27T00:00:00+00:00
223,Llano Largo,isolated_dwelling,-75.4287004,3.530644,POINT Z (-75.4287004 3.530644 0),2021-08-27T00:00:00+00:00
224,Escuela La Holanda Hermosas,school,-75.6203891,3.8380808,POINT Z (-75.6203891 3.8380808 0),2021-08-27T00:00:00+00:00
225,Vivienda,isolated_dwelling,-75.6083153,3.8307446,POINT Z (-75.6083153 3.8307446 0),2021-08-27T00:00:00+00:00
226,Vivienda,isolated_dwelling,-75.6115508,3.8332405,POINT Z (-75.6115508 3.8332405 0),2021-08-27T00:00:00+00:00
227,Oficina Parque Nacional Natural Las Hermosas,pub,-75.4921215,3.7202483,POINT Z (-75.4921215 3.7202483 0),2021-08-27T00:00:00+00:00
228,Tamanaco ,hotel,-75.4861951,3.7225541,POINT Z (-75.4861951 3.7225541 0),2021-08-27T00:00:00+00:00
229,Quesos La Jazminia,food_court,-75.5848437,3.7015013,POINT Z (-75.58484369999999 3.7015013 0),2021-08-27T00:00:00+00:00
230,El Eden,isolated_dwelling,-75.5792733,3.6721238,POINT Z (-75.5792733 3.6721238 0),2021-08-27T00:00:00+00:00
231,Porvenir,isolated_dwelling,-75.5783801,3.66775,POINT Z (-75.5783801 3.66775 0),2021-08-27T00:00:00+00:00
232,Colegio Manuel Murillo Toro,college,-75.4917707,3.7199852,POINT Z (-75.4917707 3.7199852 0),2021-08-27T00:00:00+00:00
233,Monumento El Indio,monument,-75.4828565,3.7242315,POINT Z (-75.4828565 3.7242315 0),2021-08-27T00:00:00+00:00
234,IET Medalla Milagrosa,school,-75.4867364,3.7246275,POINT Z (-75.4867364 3.7246275 0),2021-08-27T00:00:00+00:00
235,Colegio Andrés Rocha,college,-75.4983877,3.7186277,POINT Z (-75.49838769999999 3.7186277 0),2021-08-27T00:00:00+00:00
236,La Línea,hamlet,-75.5084392,3.5564724,POINT Z (-75.5084392 3.5564724 0),2021-08-27T00:00:00+00:00
237,Plaza de Toros La Sombrerera,square,-75.4746948,3.7207659,POINT Z (-75.47469479999999 3.7207659 0),2021-08-27T00:00:00+00:00
238,Club Cointrasur,swimming_pool,-75.4639172,3.7176465,POINT Z (-75.4639172 3.7176465 0),2021-08-27T00:00:00+00:00
239,Club Tuluní,swimming_pool,-75.4863342,3.7216127,POINT Z (-75.4863342 3.7216127 0),2021-08-27T00:00:00+00:00
240,Iglesia El Señor de los Milagros,place_of_worship,-75.4934476,3.7185568,POINT Z (-75.4934476 3.7185568 0),2021-08-27T00:00:00+00:00
241,Zona de comidas rápidas,fast_food,-75.4870735,3.7250397,POINT Z (-75.48707349999999 3.7250397 0),2021-08-27T00:00:00+00:00
242,Supermercado Cafisur,supermarket,-75.4856487,3.7246284,POINT Z (-75.4856487 3.7246284 0),2021-08-27T00:00:00+00:00
243,Tiendas Ara,supermarket,-75.4854793,3.7248362,POINT Z (-75.48547929999999 3.7248362 0),2021-08-27T00:00:00+00:00
244,Federación de Cafeteros,wholesale,-75.4844008,3.7212048,POINT Z (-75.4844008 3.7212048 0),2021-08-27T00:00:00+00:00
245,Casa cural,place_of_worship,-75.4848247,3.724865,POINT Z (-75.4848247 3.724865 0),2021-08-27T00:00:00+00:00
246,Compra de Café,wholesale,-75.5034309,3.7247375,POINT Z (-75.5034309 3.7247375 0),2021-08-27T00:00:00+00:00
247,Colegio Sagrado Corazon de Jesus,college,-75.4962941,3.7188647,POINT Z (-75.4962941 3.7188647 0),2021-08-27T00:00:00+00:00
248,Colegio Departamental Nuestra Señora del Rosario,college,-75.4929484,3.7201888,POINT Z (-75.4929484 3.7201888 0),2021-08-27T00:00:00+00:00
249,Estacion de Servicio Cointrasur 2,fuel,-75.4908842,3.7203974,POINT Z (-75.4908842 3.7203974 0),2021-08-27T00:00:00+00:00
250,Clínica de Ropa y Sastrería,tailor,-75.4879844,3.7201452,POINT Z (-75.4879844 3.7201452 0),2021-08-27T00:00:00+00:00
251,Bomberos Voluntarios Chaparral,fire_station,-75.4834986,3.7218243,POINT Z (-75.4834986 3.7218243 0),2021-08-27T00:00:00+00:00
252,Drogras la Rebaja,chemist,-75.4851658,3.7237634,POINT Z (-75.4851658 3.7237634 0),2021-08-27T00:00:00+00:00
253,Panadería y Pastelería,bakery,-75.4852355,3.7236653,POINT Z (-75.4852355 3.7236653 0),2021-08-27T00:00:00+00:00
254,Neurodent,dentist,-75.4856705,3.7232819,POINT Z (-75.4856705 3.7232819 0),2021-08-27T00:00:00+00:00
255,,bicycle_repair_station,-75.487918,3.7201209,POINT Z (-75.48791799999999 3.7201209 0),2021-08-27T00:00:00+00:00
256,Comfenalco,playground,-75.456971,3.7293594,POINT Z (-75.456971 3.7293594 0),2021-08-27T00:00:00+00:00
257,Los Mangos,locality,-75.3576092,3.7713893,POINT Z (-75.3576092 3.7713893 0),2021-08-27T00:00:00+00:00
258,,car_repair,-75.4906557,3.7204245,POINT Z (-75.4906557 3.7204245 0),2021-08-27T00:00:00+00:00
259,Finca México,alpine_hut,-75.5797254,3.7858304,POINT Z (-75.5797254 3.7858304 0),2021-08-27T00:00:00+00:00
260,Banco de Bogotá,bank,-75.4853082,3.7240644,POINT Z (-75.48530820000001 3.7240644 0),2021-08-27T00:00:00+00:00
261,Vegetariano Adventista,restaurant,-75.4864584,3.723952,POINT Z (-75.4864584 3.723952 0),2021-08-27T00:00:00+00:00
262,Vegetariano El Manjar,restaurant,-75.4866663,3.7241956,POINT Z (-75.4866663 3.7241956 0),2021-08-27T00:00:00+00:00
263,El Queso,locality,-75.4479325,3.6608944,POINT Z (-75.44793249999999 3.6608944 0),2021-08-27T00:00:00+00:00
264,Heladería Twis,ice_cream,-75.4864786,3.7248965,POINT Z (-75.4864786 3.7248965 0),2021-08-27T00:00:00+00:00
265,,bicycle_repair_station,-75.4880255,3.7199299,POINT Z (-75.48802550000001 3.7199299 0),2021-08-27T00:00:00+00:00
266,,transformer_tower,-75.4747841,3.7192774,POINT Z (-75.47478409999999 3.7192774 0),2021-08-27T00:00:00+00:00
267,,transformer_tower,-75.4748833,3.7192694,POINT Z (-75.4748833 3.7192694 0),2021-08-27T00:00:00+00:00
268,dispensario medico,clinic,-75.4945412,3.7245476,POINT Z (-75.4945412 3.7245476 0),2021-08-27T00:00:00+00:00
269,Instituto Educativo Alvaro Molina,school,-75.5915814,3.8420483,POINT Z (-75.5915814 3.8420483 0),2021-08-27T00:00:00+00:00
270,Escuela Rio Negro,school,-75.6293998,3.8545325,POINT Z (-75.6293998 3.8545325 0),2021-08-27T00:00:00+00:00
271,Paradero Rio Negro,locality,-75.6288404,3.8556447,POINT Z (-75.6288404 3.8556447 0),2021-08-27T00:00:00+00:00
272,Paradero La Argentina,locality,-75.6190446,3.8558747,POINT Z (-75.6190446 3.8558747 0),2021-08-27T00:00:00+00:00
273,La Arenosa,locality,-75.6337044,3.8569608,POINT Z (-75.6337044 3.8569608 0),2021-08-27T00:00:00+00:00
274,Motel Monte Bello,love_hotel,-75.45302,3.7310601,POINT Z (-75.45302 3.7310601 0),2021-08-27T00:00:00+00:00
275,El Limón,village,-75.5847828,3.649458,POINT Z (-75.5847828 3.649458 0),2021-08-27T00:00:00+00:00
276,La Marina,village,-75.6403971,3.7279334,POINT Z (-75.6403971 3.7279334 0),2021-08-27T00:00:00+00:00
277,SANTA HELENA,village,-75.4635093,3.7234259,POINT Z (-75.4635093 3.7234259 0),2021-08-27T00:00:00+00:00
278,SANTOFIMIO,village,-75.4633422,3.7217843,POINT Z (-75.4633422 3.7217843 0),2021-08-27T00:00:00+00:00
279,EL JARDIN,village,-75.4606891,3.7280177,POINT Z (-75.4606891 3.7280177 0),2021-08-27T00:00:00+00:00
280,SALOMON UMAÑA,village,-75.4684645,3.7268954,POINT Z (-75.4684645 3.7268954 0),2021-08-27T00:00:00+00:00
281,FUNDADORES,village,-75.4678876,3.7249494,POINT Z (-75.4678876 3.7249494 0),2021-08-27T00:00:00+00:00
282,VILLA ESPERANZA,village,-75.4721984,3.7235235,POINT Z (-75.4721984 3.7235235 0),2021-08-27T00:00:00+00:00
283,CARMENZA ROCHA,village,-75.4727613,3.7196134,POINT Z (-75.4727613 3.7196134 0),2021-08-27T00:00:00+00:00
284,TULUNI,village,-75.4779344,3.7180767,POINT Z (-75.4779344 3.7180767 0),2021-08-27T00:00:00+00:00
285,VILLA DEL TRIUNFO,village,-75.4786444,3.7196359,POINT Z (-75.47864439999999 3.7196359 0),2021-08-27T00:00:00+00:00
286,CASTAÑAL,village,-75.4790693,3.7203911,POINT Z (-75.47906930000001 3.7203911 0),2021-08-27T00:00:00+00:00
287,CARMENZA ROCHA,village,-75.4765396,3.7206859,POINT Z (-75.4765396 3.7206859 0),2021-08-27T00:00:00+00:00
288,PRIMAVERA,village,-75.4749266,3.7257968,POINT Z (-75.4749266 3.7257968 0),2021-08-27T00:00:00+00:00
289,AMERICAS,village,-75.4738651,3.7278829,POINT Z (-75.4738651 3.7278829 0),2021-08-27T00:00:00+00:00
290,PRIMERO DE MAYO,village,-75.4790188,3.723905,POINT Z (-75.47901880000001 3.723905 0),2021-08-27T00:00:00+00:00
291,OBRERO,village,-75.4777944,3.7260692,POINT Z (-75.47779439999999 3.7260692 0),2021-08-27T00:00:00+00:00
292,VERSALLES,village,-75.4816202,3.7259084,POINT Z (-75.48162019999999 3.7259084 0),2021-08-27T00:00:00+00:00
293,JUAN BAUTISTA,village,-75.4837444,3.7264418,POINT Z (-75.48374440000001 3.7264418 0),2021-08-27T00:00:00+00:00
294,DIVINO NIÑO,village,-75.4839525,3.7233223,POINT Z (-75.4839525 3.7233223 0),2021-08-27T00:00:00+00:00
295,LA LOMA,village,-75.4855195,3.7215158,POINT Z (-75.4855195 3.7215158 0),2021-08-27T00:00:00+00:00
296,CENTRO,village,-75.4856738,3.7241704,POINT Z (-75.4856738 3.7241704 0),2021-08-27T00:00:00+00:00
297,LIBERTADOR,village,-75.4884237,3.7228096,POINT Z (-75.4884237 3.7228096 0),2021-08-27T00:00:00+00:00
298,SANTA LUISA,neighbourhood,-75.4886848,3.7202172,POINT Z (-75.4886848 3.7202172 0),2021-08-27T00:00:00+00:00
299,AMBEIMA,village,-75.4892048,3.7176435,POINT Z (-75.4892048 3.7176435 0),2021-08-27T00:00:00+00:00
300,CABAÑAS,village,-75.4904005,3.7175266,POINT Z (-75.49040050000001 3.7175266 0),2021-08-27T00:00:00+00:00
301,PRADOS DEL EDEN,village,-75.4945661,3.7164016,POINT Z (-75.4945661 3.7164016 0),2021-08-27T00:00:00+00:00
302,EL EDEN,village,-75.4939602,3.7183859,POINT Z (-75.4939602 3.7183859 0),2021-08-27T00:00:00+00:00
303,VILLA CAFE,village,-75.4983506,3.7196248,POINT Z (-75.49835059999999 3.7196248 0),2021-08-27T00:00:00+00:00
304,BELTRAN,village,-75.4975104,3.7216758,POINT Z (-75.4975104 3.7216758 0),2021-08-27T00:00:00+00:00
305,LAURELES,village,-75.4922968,3.7211287,POINT Z (-75.49229680000001 3.7211287 0),2021-08-27T00:00:00+00:00
306,PUEBLO NUEVO,village,-75.4901666,3.7250603,POINT Z (-75.49016659999999 3.7250603 0),2021-08-27T00:00:00+00:00
307,ALGODONES,village,-75.4939736,3.7270046,POINT Z (-75.4939736 3.7270046 0),2021-08-27T00:00:00+00:00
308,EL ROCIO,village,-75.4909751,3.727609,POINT Z (-75.4909751 3.727609 0),2021-08-27T00:00:00+00:00
309,20 DE JULIO,village,-75.4874479,3.7276957,POINT Z (-75.48744790000001 3.7276957 0),2021-08-27T00:00:00+00:00
310,LAS BRISAS,village,-75.4890089,3.7285436,POINT Z (-75.4890089 3.7285436 0),2021-08-27T00:00:00+00:00
311,PARAISO,village,-75.4884881,3.7297615,POINT Z (-75.4884881 3.7297615 0),2021-08-27T00:00:00+00:00
312,VILLA DEL ROCIO,village,-75.4871506,3.7296074,POINT Z (-75.48715060000001 3.7296074 0),2021-08-27T00:00:00+00:00
313,SAN FERNANDO,village,-75.4857963,3.7292639,POINT Z (-75.4857963 3.7292639 0),2021-08-27T00:00:00+00:00
314,SAN FERNANDO BAJO,village,-75.4855796,3.7312556,POINT Z (-75.48557959999999 3.7312556 0),2021-08-27T00:00:00+00:00
315,JOSE MARIANO MELO,village,-75.481846,3.7303378,POINT Z (-75.481846 3.7303378 0),2021-08-27T00:00:00+00:00
316,Entrada al pando del Líbano,bus_stop,-75.5670213,3.7380527,POINT Z (-75.56702129999999 3.7380527 0),2021-08-27T00:00:00+00:00
317,Amoya,village,-75.3855148,3.6708157,POINT Z (-75.3855148 3.6708157 0),2021-08-27T00:00:00+00:00
318,Super Limpio M.W.,supermarket,-75.4832406,3.7225169,POINT Z (-75.4832406 3.7225169 0),2021-08-27T00:00:00+00:00
319,Buenos Aires,farm,-75.5799441,3.8437099,POINT Z (-75.57994410000001 3.8437099 0),2021-08-27T00:00:00+00:00
320,El moral,school,-75.5823051,3.7887489,POINT Z (-75.5823051 3.7887489 0),2021-08-27T00:00:00+00:00
321,La RIvera,farm,-75.7381314,3.9307427,POINT Z (-75.7381314 3.9307427 0),2021-08-27T00:00:00+00:00
